order_id,customer_id,restaurant_name,cuisine,order_date,delivery_time_minutes,order_amount,payment_method,city,order_status,rating
1,5417,Seafood Treats 3 (Kol),Fast Food,2025-11-02,26,197.59,Online,Kolkata,Cancelled,
2,21189,Continental Treats 2 (Ahm),Biryani,2025-07-28,34,248.92,Online,Ahmedabad,Delivered,4.0
3,23836,Italian Treats 6 (Pun),Continental,2024-06-10,31,408.23,Online,Pune,Delivered,5.0
4,22538,Biryani Treats 2 (Kol),Fast Food,2025-08-23,10,146.39,Online,Kolkata,Delivered,5.0
5,17873,Seafood Treats 4 (Mum),Italian,2024-11-13,22,329.3,Online,Mumbai,Delivered,4.0
6,29456,Chinese Treats 6 (Kol),Desserts,2025-09-15,25,106.81,Online,Kolkata,Delivered,4.0
7,5666,Continental Treats 1 (Pun),South Indian,2025-06-11,33,147.82,Online,Pune,Cancelled,
8,24980,Desserts Treats 2 (Del),Chinese,2024-03-07,31,339.4,Online,Delhi,Delivered,4.0
9,27104,Desserts Treats 6 (Che),South Indian,2025-08-30,33,188.39,Online,Chennai,Delivered,5.0
10,17091,Foodie Plaza (Mum),Biryani,2025-10-19,27,448.2,Online,Mumbai,Delivered,4.0
11,16857,Chinese Treats 1 (Ben),Desserts,2023-12-02,27,95.35,Online,Bengaluru,Delivered,4.0
12,24531,Italian Treats 2 (Mum),Chinese,2025-11-10,49,280.52,Online,Mumbai,Delivered,3.0
13,15180,Street Treats 2 (Hyd),Fast Food,2025-08-09,33,165.25,Online,Hyderabad,Delivered,5.0
14,14910,Spice Hub (Mum),Fast Food,2025-09-21,41,266.95,Online,Mumbai,Delivered,5.0
15,14421,South Treats 1 (Hyd),Seafood,2024-06-16,30,423.69,Online,Hyderabad,Delivered,5.0
16,1050,Seafood Treats 4 (Mum),Seafood,2025-04-28,30,504.47,Online,Mumbai,Delivered,4.0
17,21493,Desserts Treats 5 (Mum),North Indian,2025-10-21,39,61.96,Online,Mumbai,Delivered,3.0
18,6319,Italian Treats 2 (Hyd),North Indian,2025-10-26,38,270.1,Online,Hyderabad,Delivered,3.0
19,27994,Desserts Treats 5 (Pun),North Indian,2025-09-15,17,298.68,Online,Pune,Delivered,5.0
